"ppg","player_position","guard","forward","center","height_cm","weight_lb","age","salary","mpg","hours_warmup","college_ppg","kardashian_curse"
4.12081295108844,"center",0,0,1,204.754794429865,244.942589951582,31,19167129.4586752,18.6410208193026,1.54248047142848,5.9605823994907,0
25.4350864358181,"forward",0,1,0,198.57640802537,232.198869342529,28,20118815.6375882,27.9434213672845,1.14074204135268,6.59533605049335,0
35.9657372306225,"guard",1,0,0,205.598272274473,235.186580201652,22,20119961.4222174,24.9306206083807,2.76650594905006,6.22221090132519,0
21.1304783983785,"center",0,0,1,220.276426848223,257.059445861551,25,19730532.4930825,32.0169514078364,1.72169065234268,6.20606558794337,0
18.0741445709505,"center",0,0,1,207.171494717643,237.824719934381,38,19949084.8458097,24.7486999951626,1.74311583306537,14.3855077294769,0
28.9819302189584,"guard",1,0,0,201.243319602349,251.497706098353,20,19743602.4786291,19.2615060364379,2.65744393099573,8.88712737684046,0
5.04925965804125,"center",0,0,1,211.578363509171,245.569529762685,25,19026589.5192943,16.1376460300429,2.50069380122849,7.09433067397445,0
32.9406573598035,"forward",0,1,0,188.015710572423,225.395565814087,19,21017441.4672541,15.8583456056665,2.96030304343143,8.44194665607335,0
27.8141865189523,"forward",0,1,0,203.439995667516,247.903987175905,23,20243898.3637001,24.4522789748181,2.0472266866908,5.62139116860325,0
6.14397054074822,"center",0,0,1,196.928219849959,233.80530696284,31,18969311.6401732,22.8353258317025,2.33031405325461,2.78533167652393,0
28.3925968860879,"center",0,0,1,193.68236128956,217.964167100886,28,20758674.2771714,23.8748037219518,2.74194038994403,9.85385582612791,0
32.4119445343227,"guard",1,0,0,219.461286096045,250.473414503297,21,20116193.2945478,22.3594625594267,1.89474528493113,5.72824714759957,0
33.0711336114544,"guard",1,0,0,205.55226497342,238.255177256435,24,20282373.5910274,20.54466758804,2.34114618988853,5.61477897243774,0
18.9693381053076,"center",0,0,1,217.855853742184,245.710763167645,29,20184601.3190967,20.1628750080598,1.89519304268239,12.3756648378486,0
27.1136990463468,"forward",0,1,0,194.881956708114,243.589117048218,21,20062031.6813815,23.5050918437826,2.17320479570347,9.65685088667767,0
29.3916580749128,"guard",1,0,0,196.925290065839,240.925271211506,28,20265424.1889955,17.0215120367228,1.66679896881405,11.1285988684347,0
11.2034331653974,"forward",0,1,0,213.31212211387,246.37677024662,35,20100948.4214243,6.16176855553701,1.79776531610508,7.15171403220771,0
27.248655339147,"forward",0,1,0,226.972127795818,274.460979204973,16,20037250.5010304,21.0494748735711,2.62117729293494,9.09522442334256,0
36.1039152064303,"guard",1,0,0,207.160405948337,243.264251295312,24,20867761.6777287,14.1245169162812,2.34635898631158,11.2141572871436,0
32.2450477601444,"forward",0,1,0,207.125491609696,219.00574766923,24,20470348.1019494,24.1876136024489,2.24644409099355,11.3701401771541,0
23.2726118657938,"center",0,0,1,202.18635119322,229.801785966568,32,20587025.2755255,26.0156183762135,1.95179237075416,1.67325502843642,0
20.9276694340087,"forward",0,1,0,196.162146221362,235.763949656972,27,20264209.2889634,12.9043414110427,2.54700159449169,8.04116672888407,0
22.5790797492207,"center",0,0,1,226.096199585533,266.313906561646,27,19439024.1862769,36.8140070304344,2.05238101082583,7.88415033246255,0
28.9741114515754,"center",0,0,1,197.055420658681,259.273958647396,24,21139431.3839585,21.348026005292,2.15754747449308,7.47649946973279,0
20.234724121115,"center",0,0,1,209.018444324071,247.990371493973,27,20464700.837833,16.6965498765503,2.05112627349773,13.3590681256835,0
30.5181225607198,"guard",1,0,0,199.974109852496,238.83284432422,26,20098343.6629569,21.4600268281096,1.56416067005278,9.5492218745615,0
30.4130638712654,"guard",1,0,0,200.659158112118,227.786021162596,24,19598482.7571328,25.0629355713067,2.43241854828274,8.34809400232786,0
33.435028065791,"guard",1,0,0,204.0999336079,259.947435907456,20,20587290.9886797,17.2302105271365,1.68297669496321,8.05208719314118,0
20.3039509041597,"center",0,0,1,213.289299636302,256.733080216402,26,19553635.889819,31.7546762961626,2.72333117615228,3.4386142254322,0
13.6741694136247,"center",0,0,1,200.089376632115,241.745343655819,28,19651166.4858052,26.9966573207516,1.48632653938512,0.996573349513792,0
